bill_length_mm,flipper_length_mm
46.1,211.0
50.0,230.0
48.7,210.0
50.0,218.0
47.6,215.0
46.5,210.0
45.4,211.0
46.7,219.0
43.3,209.0
46.8,215.0
40.9,214.0
49.0,216.0
45.5,214.0
48.4,213.0
45.8,210.0
49.3,217.0
42.0,210.0
49.2,221.0
46.2,209.0
48.7,222.0
50.2,218.0
45.1,215.0
46.5,213.0
46.3,215.0
42.9,215.0
46.1,215.0
44.5,216.0
47.8,215.0
48.2,210.0
50.0,220.0
47.3,222.0
42.8,209.0
45.1,207.0
59.6,230.0
49.1,220.0
48.4,220.0
42.6,213.0
44.4,219.0
44.0,208.0
48.7,208.0
42.7,208.0
49.6,225.0
45.3,210.0
49.6,216.0
50.5,222.0
43.6,217.0
45.5,210.0
50.5,225.0
44.9,213.0
45.2,215.0
46.6,210.0
48.5,220.0
45.1,210.0
50.1,225.0
46.5,217.0
45.0,220.0
43.8,208.0
45.5,220.0
43.2,208.0
50.4,224.0
45.3,208.0
46.2,221.0
45.7,214.0
54.3,231.0
45.8,219.0
49.8,230.0
46.2,214.0
49.5,229.0
43.5,220.0
50.7,223.0
47.7,216.0
46.4,221.0
48.2,221.0
46.5,217.0
46.4,216.0
48.6,230.0
47.5,209.0
51.1,220.0
45.2,215.0
45.2,223.0
49.1,212.0
52.5,221.0
47.4,212.0
50.0,224.0
44.9,212.0
50.8,228.0
43.4,218.0
51.3,218.0
47.5,212.0
52.1,230.0
47.5,218.0
52.2,228.0
45.5,212.0
49.5,224.0
44.5,214.0
50.8,226.0
49.4,216.0
46.9,222.0
48.4,203.0
51.1,225.0
48.5,219.0
55.9,228.0
47.2,215.0
49.1,228.0
47.3,216.0
46.8,215.0
41.7,210.0
53.4,219.0
43.3,208.0
48.1,209.0
50.5,216.0
49.8,229.0
43.5,213.0
51.5,230.0
46.2,217.0
55.1,230.0
44.5,217.0
48.8,222.0
47.2,214.0
46.8,215.0
50.4,222.0
45.2,212.0
49.9,213.0
